id,description
1,"$0 to $9,999"
2,"$10,000 to $24,999"
3,"$25,000 to $34,999"
4,"$35,000 to $49,999"
5,"$50,000 to $74,999"
6,"$75,000 to $99,999"
7,"$100,000 to $149,999"
8,"$150,000 to $199,999"
9,"$200,000 to $249,999"
10,"$250,000 or more"
98,DK
99,RF
