id,description
1,SEDAN (4-door)
2,SUV
3,PICK-UP TRUCK
4,COUPE (2-door)
5,CONVERTIBLE  
6,HATCHBACK
7,WAGON
8,MINIVAN 
9,VAN 
10,OTHER KIND OF TRUCK
11,RECREATIONAL VEHICLE
12,MOTORCYCLE
13,MOPED/SCOOTER (e.g. VESPA)
97,"OTHER SPECIFY (WATERCRAFT,  CROSSOVER,  ETC)"
98,DK 
99,RF
