id,description
1,"Not a high school graduate, 12 grade or less (THIS INCLUDES VERY YOUNG CHILDREN TOO)"
2,High school graduate (high school diploma or GED)
3,Some college credit but no degree
4,Associate or technical school degree
5,Bachelors or undergraduate degree
6,"Graduate degree (includes professional degree like MD, DDs, JD)"
7,"OTHER, SPECIFY"
8,DK
9,RF
